RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
19,"TREVORJAMES
North East
Age 26
6'2"" | 225 lbs
View Profile",264,32nd(41:33.57)16 pts(41:33.57),29T(CAP+5)22 pts(CAP+5),19th(12:55.01)42 pts(12:55.01),16th(6:36.94)48 pts(6:36.94),5th(16:03.87)80 pts(16:03.87),12th(4:40.66)56 pts(4:40.66)
20,"JAKEMARCONI
North East
Age 21
5'7"" | 185 lbs
View Profile",250,24th(40:07.25)32 pts(40:07.25),18th(16:13.93)44 pts(16:13.93),5th(10:15.45)80 pts(10:15.45),12th(6:23.05)56 pts(6:23.05),28T(CAP+18)24 pts(CAP+18),33rd(6:00.54)14 pts(6:00.54)
21,"JAYADAMS
North East
Age 30
5'10"" | 195 lbs
View Profile",250,6th(37:43.72)76 pts(37:43.72),28th(CAP+4)24 pts(CAP+4),26T(CAP+56)28 pts(CAP+56),21st(6:45.83)38 pts(6:45.83),21T(CAP+10)38 pts(CAP+10),17th(4:52.70)46 pts(4:52.70)
22,"COREYLUNNEY
North East
Age 27
5'9"" | 180 lbs
View Profile",244,19th(39:39.93)42 pts(39:39.93),29T(CAP+5)22 pts(CAP+5),12th(11:22.60)56 pts(11:22.60),24th(6:51.38)32 pts(6:51.38),24T(CAP+16)32 pts(CAP+16),10th(4:26.12)60 pts(4:26.12)
23,"TRISTANMAIORANO
North East
Age 23
5'11"" | 195 lbs
View Profile",244,23rd(40:05.11)34 pts(40:05.11),13th(15:40.79)54 pts(15:40.79),26T(CAP+56)28 pts(CAP+56),28th(7:01.41)24 pts(7:01.41),15T(CAP+9)50 pts(CAP+9),13th(4:46.48)54 pts(4:46.48)
24,"KYLECANT
Canada East
Age 29
5'8"" | 185 lbs
View Profile",236,21st(39:49.10)38 pts(39:49.10),15th(15:51.98)50 pts(15:51.98),35th(CAP+93)10 pts(CAP+93),20th(6:42.53)40 pts(6:42.53),15T(CAP+9)50 pts(CAP+9),16th(4:51.87)48 pts(4:51.87)
25,"ALEXVIGNEAULT
Canada East
Age 26
5'11"" | 208 lbs
View Profile",228,25th(40:08.21)30 pts(40:08.21),17th(16:13.80)46 pts(16:13.80),13th(11:29.78)54 pts(11:29.78),31st(7:09.94)18 pts(7:09.94),9th(16:57.57)64 pts(16:57.57),32nd(5:59.96)16 pts(5:59.96)
26,"ALEXBOZENHARD
North East
Age 26
5'8"" | 190 lbs
View Profile",218,34th(41:54.15)12 pts(41:54.15),26T(CAP+2)28 pts(CAP+2),10th(11:07.86)60 pts(11:07.86),15th(6:35.46)50 pts(6:35.46),24T(CAP+16)32 pts(CAP+16),22nd(5:01.23)36 pts(5:01.23)
27,"JOSHWORKMAN
North East
Age 20
5'7"" | 155 lbs
View Profile",206,10th(38:16.12)60 pts(38:16.12),35th(CAP+26)10 pts(CAP+26),14th(11:40.62)52 pts(11:40.62),26th(6:57.97)28 pts(6:57.97),26T(CAP+17)28 pts(CAP+17),26th(5:31.80)28 pts(5:31.80)
28,"RYANSUNSHINE
North East
Age 25
5'8"" | 187 lbs
View Profile",188,30th(40:56.34)20 pts(40:56.34),31st(CAP+7)18 pts(CAP+7),7th(10:34.46)72 pts(10:34.46),18th(6:40.44)44 pts(6:40.44),34th(CAP+31)12 pts(CAP+31),29th(5:44.74)22 pts(5:44.74)
29,"MICHAELRUGGERI
North East
Age 24
5'9"" | 175 lbs
View Profile",174,8th(38:01.20)68 pts(38:01.20),26T(CAP+2)28 pts(CAP+2),37th(CAP+124)6 pts(CAP+124),22nd(6:46.65)36 pts(6:46.65),28T(CAP+18)24 pts(CAP+18),34th(6:02.83)12 pts(6:02.83)
30,"JEREMYVIGNEAULT
Canada East
Age 21
185 cm | 208 lbs
View Profile",174,28th(40:46.86)24 pts(40:46.86),19th(16:17.15)42 pts(16:17.15),26T(CAP+56)28 pts(CAP+56),32nd(7:32.02)16 pts(7:32.02),23rd(CAP+12)34 pts(CAP+12),25th(5:23.56)30 pts(5:23.56)
31,"DAVIDCHARBONNEAU
North East
Age 32
5'10"" | 195 lbs
View Profile",166,33rd(41:51.62)14 pts(41:51.62),12th(15:29.85)56 pts(15:29.85),18th(12:41.66)44 pts(12:41.66),35th(8:09.57)10 pts(8:09.57),31T(CAP+20)18 pts(CAP+20),28th(5:44.73)24 pts(5:44.73)
32,"STEPHENMACKENZIE
Canada East
Age 29
5'10"" | 200 lbs
View Profile",162,17th(39:18.84)46 pts(39:18.84),22nd(16:55.50)36 pts(16:55.50),31T(CAP+65)18 pts(CAP+65),30th(7:08.90)20 pts(7:08.90),28T(CAP+18)24 pts(CAP+18),31st(5:56.37)18 pts(5:56.37)
33,"OWENBERNSTEIN
North East
Age 22
5'10"" | 185 lbs
View Profile",146,37th(46:17.88)6 pts(46:17.88),32nd(CAP+12)16 pts(CAP+12),31T(CAP+65)18 pts(CAP+65),11th(6:22.84)58 pts(6:22.84),35th(CAP+37)10 pts(CAP+37),21st(4:58.44)38 pts(4:58.44)
34,"SEBASTIANMEDINA
North East
Age 28
5'8"" | 183 lbs
View Profile",118,18th(39:27.38)44 pts(39:27.38),36th(CAP+52)8 pts(CAP+52),26T(CAP+56)28 pts(CAP+56),33rd(7:36.29)14 pts(7:36.29),33rd(CAP+26)14 pts(CAP+26),35th(6:54.61)10 pts(6:54.61)
35,"LEIGHTONBRILLO-SONNINO
North East
Age 22
6'0"" | 206 lbs
View Profile",118,35th(43:39.07)10 pts(43:39.07),33T(CAP+18)14 pts(CAP+18),36th(CAP+106)8 pts(CAP+106),19th(6:42.27)42 pts(6:42.27),31T(CAP+20)18 pts(CAP+20),27th(5:44.15)26 pts(5:44.15)
36,"MICHAELPALOMBA
North East
Age 23
5'9"" | 195 lbs
View Profile",134,31st(41:28.01)18 pts(41:28.01),4th(14:20.10)84 pts(14:20.10),24T(CAP+55)32 pts(CAP+55),WD (--),WD (--),WD (--)
37,"AUSTINSPENCER
North East
Age 25
5'10"" | 195 lbs
View Profile",86,29th(40:53.00)22 pts(40:53.00),37th(CAP+63)6 pts(CAP+63),11th(11:13.54)58 pts(11:13.54),WD (--),WD (--),WD (--)
38,"DEVINFORD
North East
Age 28
5'8"" | 190 lbs
View Profile",,WD (--),WD (--),WD (--),WD (--),WD (--),WD (--)
--,"JOESILVESTRI
North East
Age 30
5'9"" | 195 lbs
View Profile",0,,,,,,
--,"JAMESHOBART
North East
Age 32
5'8"" | 185 lbs
View Profile",0,,,,,,
