RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
30,"YAVUZSENTURK
Africa Middle East
Age 28
173 cm | 176 lbs
View Profile",154,21st(40:48.91)38 pts(40:48.91),34th(CAP+35)12 pts(CAP+35),23T(CAP+55)34 pts(CAP+55),38th(CAP+17)4 pts(CAP+17),20th(CAP+14)40 pts(CAP+14),27th(6:01.44)26 pts(6:01.44)
31,"RICHARDSMITH
Africa Middle East
Age 30
183 cm | 189 lbs
View Profile",126,29th(42:09.00)22 pts(42:09.00),38th(CAP+55)4 pts(CAP+55),35th(CAP+76)10 pts(CAP+76),28th(7:55.12)24 pts(7:55.12),23T(CAP+16)34 pts(CAP+16),24th(5:53.19)32 pts(5:53.19)
32,"NICOLAPETRUZZI
Europe South
Age 31
180 cm | 80 kg
View Profile",116,33rd(42:22.79)14 pts(42:22.79),33rd(CAP+31)14 pts(CAP+31),20th(CAP+34)40 pts(CAP+34),36th(CAP+6)8 pts(CAP+6),29T(CAP+17)22 pts(CAP+17),31st(6:22.42)18 pts(6:22.42)
33,"STEFANODI FRANCESCO
Europe South
Age 24
172 cm | 79 kg
View Profile",114,39th(43:22.14)2 pts(43:22.14),28T(CAP+23)24 pts(CAP+23),25T(CAP+56)30 pts(CAP+56),18th(7:19.32)44 pts(7:19.32),36th(CAP+23)8 pts(CAP+23),37th(CAP+2)6 pts(CAP+2)
34,"ROBSCHILLACI
Africa Middle East
Age 28
177 cm | 90 kg
View Profile",92,34th(42:27.15)12 pts(42:27.15),31T(CAP+24)18 pts(CAP+24),37th(CAP+115)6 pts(CAP+115),19th(7:20.12)42 pts(7:20.12),35th(CAP+21)10 pts(CAP+21),38th(CAP+6)4 pts(CAP+6)
35,"RUBÉNINSUA
Europe South
Age 32
167 cm | 72 kg
View Profile",78,25th(41:11.81)30 pts(41:11.81),35th(CAP+37)10 pts(CAP+37),38th(CAP+162)4 pts(CAP+162),37th(CAP+12)6 pts(CAP+12),38th(CAP+37)4 pts(CAP+37),28th(6:11.65)24 pts(6:11.65)
36,"DAVID BENDAVID
Africa Middle East
Age 27
178 cm | 85 kg
View Profile",66,37th(43:09.09)6 pts(43:09.09),25T(CAP+14)30 pts(CAP+14),39th(CAP+163)2 pts(CAP+163),33rd(8:31.32)14 pts(8:31.32),37th(CAP+28)6 pts(CAP+28),36th(CAP)8 pts(CAP)
37,"FRANCISCOGODINHO
Europe South
Age 29
177 cm | 85 kg
View Profile",64,35th(42:45.16)10 pts(42:45.16),39th(CAP+98)2 pts(CAP+98),32T(CAP+67)16 pts(CAP+67),35th(CAP+5)10 pts(CAP+5),32T(CAP+19)16 pts(CAP+19),35th(6:55.67)10 pts(6:55.67)
38,"ALEXANDERANASAGASTI
Europe South
Age 26
174 cm | 74 kg
View Profile",134,15th(40:10.55)50 pts(40:10.55),16th(16:54.20)48 pts(16:54.20),22nd(CAP+53)36 pts(CAP+53),WD (--),WD (--),WD (--)
39,"ATESBORAN
Europe South
Age 32
173 cm | 169 lbs
View Profile",0,40th(45:41.82)0 pts(45:41.82),40th(CAP+119)0 pts(CAP+119),WD (--),WD (--),WD (--),WD (--)
