RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
31,"DEXHOPKINS
Central East
Age 29
6'2"" | 215 lbs
View Profile",172,37th(44:34.05)6 pts(44:34.05),18th(15:53.79)44 pts(15:53.79),12th(11:05.70)56 pts(11:05.70),38th(8:09.94)4 pts(8:09.94),17T(CAP+3)46 pts(CAP+3),32nd(5:11.38)16 pts(5:11.38)
32,"ZACHWATTS
Central East
Age 22
6'0"" | 195 lbs
View Profile",164,38th(45:53.79)4 pts(45:53.79),24th(16:44.94)32 pts(16:44.94),23rd(12:56.56)34 pts(12:56.56),22nd(7:01.26)36 pts(7:01.26),32nd(CAP+12)16 pts(CAP+12),19th(4:23.16)42 pts(4:23.16)
33,"TONYSPALENY
North Central
Age 21
5'8"" | 180 lbs
View Profile",162,19th(41:15.10)42 pts(41:15.10),35T(CAP+10)10 pts(CAP+10),18th(12:09.68)44 pts(12:09.68),30th(7:27.46)20 pts(7:27.46),24T(CAP+9)32 pts(CAP+9),33rd(5:23.69)14 pts(5:23.69)
34,"PATRICKO'CONNELL
Central East
Age 30
5'9"" | 185 lbs
View Profile",150,25th(41:52.49)30 pts(41:52.49),34th(CAP+9)12 pts(CAP+9),27th(CAP+37)26 pts(CAP+37),20th(6:58.09)40 pts(6:58.09),23rd(CAP+8)34 pts(CAP+8),36th(6:15.36)8 pts(6:15.36)
35,"ADDISONBAIN
North Central
Age 28
5'10"" | 190 lbs
View Profile",110,11th(39:39.35)58 pts(39:39.35),40th(CAP+34)0 pts(CAP+34),32T(CAP+56)16 pts(CAP+56),40th(8:38.27)0 pts(8:38.27),33T(CAP+15)14 pts(CAP+15),29th(5:05.29)22 pts(5:05.29)
36,"MIKEWAGNER
North Central
Age 25
5'10"" | 200 lbs
View Profile",110,14th(40:12.22)52 pts(40:12.22),38th(CAP+15)4 pts(CAP+15),29th(CAP+51)22 pts(CAP+51),28th(7:17.06)24 pts(7:17.06),38T(CAP+18)4 pts(CAP+18),38th(6:36.30)4 pts(6:36.30)
37,"CONNORNELLANS
North Central
Age 24
6'0"" | 215 lbs
View Profile",90,32nd(43:03.42)16 pts(43:03.42),33rd(CAP+7)14 pts(CAP+7),32T(CAP+56)16 pts(CAP+56),26th(7:13.98)28 pts(7:13.98),33T(CAP+15)14 pts(CAP+15),39th(CAP+9)2 pts(CAP+9)
38,"COLBYTHOMASON
North Central
Age 27
5'9"" | 190 lbs
View Profile",86,22nd(41:36.74)36 pts(41:36.74),31T(CAP+5)18 pts(CAP+5),30T(CAP+55)20 pts(CAP+55),39th(8:19.51)2 pts(8:19.51),38T(CAP+18)4 pts(CAP+18),37th(6:26.71)6 pts(6:26.71)
39,"ALANJOYNER
North Central
Age 33
6'1"" | 205 lbs
View Profile",46,39th(45:56.74)2 pts(45:56.74),37th(CAP+13)6 pts(CAP+13),39T(CAP+125)2 pts(CAP+125),31st(7:32.28)18 pts(7:32.28),40th(CAP+21)0 pts(CAP+21),31st(5:10.89)18 pts(5:10.89)
40,"BRADYGREEAR
North Central
Age 26
5'10"" | 210 lbs
View Profile",38,40th(48:04.68)0 pts(48:04.68),39th(CAP+23)2 pts(CAP+23),39T(CAP+125)2 pts(CAP+125),34th(7:43.22)12 pts(7:43.22),35T(CAP+16)10 pts(CAP+16),34th(5:44.45)12 pts(5:44.45)
