RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
950,"ERIKTHOMAS
Central East
Age 28
72 in | 190 lb
View Profile",12358,"719th(428 reps)13 rounds +
8 toes-to-bars
4 clean & jerksJudged by Dustin Winterhalt at Triple Crown CrossFit.","325th(4:21)110 reps
297 lb.(4:21)Judged by Dustin Winterhalt at Triple Crown CrossFit.",6265th(297 lb)297 lb.(4:21)Judged by Dustin Winterhalt at Triple Crown CrossFit.,"1480th(693 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
9 ring muscle-ups(12:25)Judged by Dustin Winterhalt at Triple Crown CrossFit.","597th (160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:38)Judged by Dustin Winterhalt at Triple Crown CrossFit.",2972nd(140 reps)
951,"RICKYMOORE
West Coast
Age 28
66 in | 173 lb
View Profile",12391,"9809th(367 reps)11 rounds +
8 toes-to-bars
7 clean & jerksJudged by Scott Schwitzer at CrossFit Invictus.","43rd(4:00)110 reps
325 lb.(4:00)Judged by Scott Schwitzer at CrossFit Invictus.",1512th(325 lb)325 lb.(4:00)Judged by Scott Schwitzer at CrossFit Invictus.,"546th(760 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
64 double-unders(11:44)Judged by Scott Schwitzer at CrossFit Invictus.",338th(8:52)165 reps(8:52)Judged by bassem Elsayeh at CrossFit Invictus.,"143rd(172 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
4 thr.Judged by Santino Marini at CrossFit Invictus."
952,"BRODIESCOTT
Australasia
Age 25
176 cm | 80 kg
View Profile",12395,"900th(424 reps)13 rounds +
8 toes-to-barsJudged by Tony Gillbanks at CrossFit 2795.","1005th(4:40)110 reps
292 lb.(4:40)Judged by Tony Gillbanks at CrossFit 2795.",7729th(292 lb)292 lb.(4:40)Judged by Tony Gillbanks at CrossFit 2795.,"521st(765 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
69 double-unders(11:36)Judged by Ashleigh Corby at CrossFit 2795.",395th(8:57)165 reps(8:57)Judged by Daniel George at CrossFit 2795.,"1845th(146 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
20 thr.Judged by Alex Campion at CrossFit 2795."
953,"SAMUELARAIZAACCEPTED
Central America
Age 25
185 cm | 200 lb
View Profile",12411,"900th(424 reps)13 rounds +
8 toes-to-barsJudged by Victor Pineda at SEIS24 CrossFit.","2681st(5:05)110 reps
310 lb.(5:05)Judged by Eva Yarto at Norcal CrossFit Cabo.",3458th(310 lb)310 lb.(5:05)Judged by Eva Yarto at Norcal CrossFit Cabo.,"917th(712 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
16 double-unders(12:32)Judged by Eva Yarto at Norcal CrossFit Cabo.","1189th(150 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
4 deadlifts(7:52)Judged by Eva Yarto at Norcal CrossFit Cabo.","3266th(139 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
13 thr."
954,"ASIERSANCHEZ
Europe South
Age 23
180 cm | 180 lb
View Profile",12421,"1336th(416 reps)13 rounds +
0 toes-to-barsJudged by Adrián Alonso Martinez at CrossFit Colen.","3627th(5:16)110 reps
304 lb.(5:16)Judged by Adrián Alonso Martinez at CrossFit Colen.",4938th(304 lb)304 lb.(5:16)Judged by Adrián Alonso Martinez at CrossFit Colen.,"656th(743 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
47 double-unders(12:14)Judged by Adrián Alonso Martinez at CrossFit Colen.","1377th(148 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
2 deadlifts(8:10)Judged by Adrián Alonso Martinez at CrossFit Colen.","487th(162 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 15 PUJudged by Adrián Alonso Martinez at CrossFit Colen."
955,"ANDREYGURYEV
Europe North
Age 25
185 lb
View Profile",12427,"839th(425 reps)13 rounds +
8 toes-to-bars
1 clean & jerksJudged by Lyudmila Yakovleva at Soyuz CrossFit.","963rd(4:39)110 reps
297 lb.(4:39)Judged by Lyudmila Yakovleva at Soyuz CrossFit.",6276th(297 lb)297 lb.(4:39)Judged by Lyudmila Yakovleva at Soyuz CrossFit.,"479th(770 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
74 double-unders(11:55)Judged by Lyudmila Yakovleva at Soyuz CrossFit.","3471st(133 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
12 deadlifts(6:27)Judged by Lyudmila Yakovleva at Soyuz CrossFit.","399th(164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Lyudmila Yakovleva at Soyuz CrossFit."
956,"KENGEVERS
Europe Central
Age 29
182 cm | 87 kg
View Profile",12472,"320th(439 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
5 caloriesJudged by Peter Liekens at CrossFit Kapellen.","3856th(5:18)110 reps
300 lb.(5:18)Judged by Gregory Luypaert at CrossFit Kapellen.",5476th(300 lb)300 lb.(5:18)Judged by Gregory Luypaert at CrossFit Kapellen.,"1230th(695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(12:37)Judged by Peter Liekens at CrossFit Kapellen.",258th(8:41)165 reps(8:41)Judged by Peter Liekens at CrossFit Kapellen.,"1332nd(150 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 3 PUJudged by Peter Liekens at CrossFit Kapellen."
957,"TOMWATSON
Europe Central
Age 28
178 cm | 87 kg
View Profile",12478,"2172nd(405 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
3 caloriesJudged by Wayne Jarret at CrossFit Devils Path.","3627th(5:16)110 reps
333 lb.(5:16)Judged by Wayne Jarret at CrossFit Devils Path.",999th(333 lb)333 lb.(5:16)Judged by Wayne Jarret at CrossFit Devils Path.,"641st(745 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
49 double-unders(13:29)Judged by Wayne Jarret at CrossFit Devils Path.","4124th(131 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
10 deadlifts(7:08)Judged by Wayne Jarret at CrossFit Devils Path.","915th(155 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 8 PUJudged by Wayne Jarret at CrossFit Devils Path."
957,"ALEXANDERPANTELEEV
Europe North
Age 26
174 cm | 185 lb
View Profile",12478,"1871st(409 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
7 caloriesJudged by Vadim Darchinov at CrossFit Zilant.","3426th(5:14)110 reps
322 lb.(5:14)Judged by Azat Fayziev at CrossFit Zilant.",1839th(322 lb)322 lb.(5:14)Judged by Azat Fayziev at CrossFit Zilant.,"2637th(688 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
4 ring muscle-ups(13:29)Judged by Azat Fayziev at CrossFit Zilant.","1849th(143 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
35 ft. handstand walk(8:28)Judged by Tagir Yusupov at CrossFit Zilant.","856th(156 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 9 PUJudged by Vadim Darchinov at CrossFit Zilant."
959,"ARKAITZGUTIERREZ
Europe South
Age 27
182 cm | 85 kg
View Profile",12494,"338th(438 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
4 caloriesJudged by Iker Saiz at CrossFit Donosti Pasaia Box.","2755th(5:06)110 reps
309 lb.(5:06)Judged by Iker Saiz at CrossFit Donosti Pasaia Box.",3660th(309 lb)309 lb.(5:06)Judged by Iker Saiz at CrossFit Donosti Pasaia Box.,"915th(712 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
16 double-unders(12:18)Judged by Iker Saiz at CrossFit Donosti Pasaia Box.","4224th(130 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
9 deadlifts(6:22)Judged by Iker Saiz at CrossFit Donosti Pasaia Box.","602nd(160 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 13 PUJudged by Iker Saiz at CrossFit Donosti Pasaia Box."
