RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
22,"JAKEDOUGLAS
Australasia
Age 27
172 cm | 202 lbs
View Profile",236,38th(46:36.72)4 pts(46:36.72),13th(16:05.98)54 pts(16:05.98),29T(CAP+33)22 pts(CAP+33),4th(6:01.15)84 pts(6:01.15),36T(CAP+24)8 pts(CAP+24),9th(4:37.75)64 pts(4:37.75)
23,"REILLYSMITH
Australasia
Age 22
185 cm | 90 kg
View Profile",234,18th(39:51.46)44 pts(39:51.46),21T(CAP+3)38 pts(CAP+3),25th(CAP+15)30 pts(CAP+15),31st(7:43.46)18 pts(7:43.46),28T(CAP+18)24 pts(CAP+18),5th(4:21.04)80 pts(4:21.04)
24,"JACOBPFAFF
Asia
Age 26
5'7"" | 215 lbs
View Profile",216,35th(45:20.49)10 pts(45:20.49),5th(14:11.60)80 pts(14:11.60),36T(CAP+58)8 pts(CAP+58),21st(6:52.62)38 pts(6:52.62),20T(CAP+11)40 pts(CAP+11),20th(5:18.59)40 pts(5:18.59)
25,"HUGOLEIGHTON
Australasia
Age 23
170 cm | 174 lbs
View Profile",194,20th(40:45.78)40 pts(40:45.78),19T(CAP+2)42 pts(CAP+2),23T(CAP+9)34 pts(CAP+9),29th(7:32.56)22 pts(7:32.56),22T(CAP+14)36 pts(CAP+14),30th(5:41.95)20 pts(5:41.95)
26,"TOMLENGYEL
Australasia
Age 27
169 cm | 165 lbs
View Profile",186,32nd(43:17.97)16 pts(43:17.97),31T(CAP+18)18 pts(CAP+18),2nd(9:28.97)94 pts(9:28.97),30th(7:35.74)20 pts(7:35.74),36T(CAP+24)8 pts(CAP+24),25th(5:26.65)30 pts(5:26.65)
27,"HAYDENLAVANDA
Australasia
Age 25
178 cm | 91 kg
View Profile",180,24th(41:17.46)32 pts(41:17.46),28T(CAP+13)24 pts(CAP+13),23T(CAP+9)34 pts(CAP+9),36th(8:07.78)8 pts(8:07.78),17T(CAP+10)46 pts(CAP+10),22nd(5:23.35)36 pts(5:23.35)
DQ,"JOELMUNRO
Australasia
Age 26
171 cm | 80 kg
View Profile",178,22nd(40:51.08)36 pts(40:51.08),23rd(CAP+6)34 pts(CAP+6),29T(CAP+33)22 pts(CAP+33),27th(7:26.99)26 pts(7:26.99),38th(CAP+26)4 pts(CAP+26),12th(4:58.98)56 pts(4:58.98)
28,"JAMESCONNEW
Australasia
Age 29
177 cm | 191 lbs
View Profile",178,31st(43:03.11)18 pts(43:03.11),28T(CAP+13)24 pts(CAP+13),26th(CAP+16)28 pts(CAP+16),25th(7:20.71)30 pts(7:20.71),13T(CAP+9)54 pts(CAP+9),28th(5:36.86)24 pts(5:36.86)
29,"JESSEBURNS
Australasia
Age 21
170 cm | 77 kg
View Profile",174,28th(42:23.03)24 pts(42:23.03),40th(CAP+54)0 pts(CAP+54),10th(10:22.49)60 pts(10:22.49),16th(6:36.49)48 pts(6:36.49),26T(CAP+16)28 pts(CAP+16),33rd(6:02.86)14 pts(6:02.86)
30,"GRAYSONSCHIPHORST
Australasia
Age 28
181 cm | 102 kg
View Profile",174,33rd(44:04.53)14 pts(44:04.53),10th(15:17.83)60 pts(15:17.83),40th(CAP+163)0 pts(CAP+163),28th(7:29.98)24 pts(7:29.98),26T(CAP+16)28 pts(CAP+16),16th(5:03.79)48 pts(5:03.79)
31,"ALEXYOUNGER
Asia
Age 25
180 cm | 180 lbs
View Profile",152,26th(41:59.66)28 pts(41:59.66),36th(CAP+38)8 pts(CAP+38),17th(12:22.82)46 pts(12:22.82),20th(6:51.22)40 pts(6:51.22),34T(CAP+22)12 pts(CAP+22),31st(5:47.46)18 pts(5:47.46)
32,"ANTONIOBARRIAS
Asia
Age 29
169 cm | 80 kg
View Profile",136,25th(41:25.99)30 pts(41:25.99),31T(CAP+18)18 pts(CAP+18),21st(12:55.95)38 pts(12:55.95),26th(7:22.73)28 pts(7:22.73),34T(CAP+22)12 pts(CAP+22),35th(6:24.88)10 pts(6:24.88)
33,"MYUNG SIKKWAK
Asia
Age 26
176 cm | 170 lbs
View Profile",122,34th(45:18.43)12 pts(45:18.43),38th(CAP+45)4 pts(CAP+45),19th(12:32.63)42 pts(12:32.63),34th(7:59.47)12 pts(7:59.47),17T(CAP+10)46 pts(CAP+10),37th(6:42.59)6 pts(6:42.59)
34,"BILLYPULLEN
Asia
Age 26
178 cm | 84 kg
View Profile",118,36th(45:50.38)8 pts(45:50.38),26T(CAP+9)28 pts(CAP+9),31T(CAP+38)18 pts(CAP+38),37th(8:20.60)6 pts(8:20.60),28T(CAP+18)24 pts(CAP+18),23rd(5:24.12)34 pts(5:24.12)
35,"HANSUNJAE
Asia
Age 30
172 cm | 182 lbs
View Profile",102,30th(42:34.11)20 pts(42:34.11),24T(CAP+7)32 pts(CAP+7),34T(CAP+56)12 pts(CAP+56),35th(8:06.91)10 pts(8:06.91),28T(CAP+18)24 pts(CAP+18),38th(6:48.36)4 pts(6:48.36)
36,"SUL MINCHOI
Asia
Age 29
174 cm | 185 lbs
View Profile",80,40th(CAP+7)0 pts(CAP+7),26T(CAP+9)28 pts(CAP+9),36T(CAP+58)8 pts(CAP+58),32nd(7:49.30)16 pts(7:49.30),32nd(CAP+20)16 pts(CAP+20),34th(6:08.93)12 pts(6:08.93)
37,"AARONOSBORNE
Australasia
Age 30
167 cm | 75 kg
View Profile",72,37th(46:05.99)6 pts(46:05.99),37th(CAP+44)6 pts(CAP+44),12th(10:51.01)56 pts(10:51.01),40th(CAP+14)0 pts(CAP+14),39th(CAP+28)2 pts(CAP+28),39th(CAP+6)2 pts(CAP+6)
38,"HYUNGUCHO
Asia
Age 30
178 cm | 83 kg
View Profile",60,29th(42:29.83)22 pts(42:29.83),34th(CAP+26)12 pts(CAP+26),39th(CAP+114)2 pts(CAP+114),39th(8:42.62)2 pts(8:42.62),40th(CAP+40)0 pts(CAP+40),29th(5:36.96)22 pts(5:36.96)
39,"HAYDNWOLFSBAUER
Australasia
Age 31
180 cm | 92 kg
View Profile",26,39th(48:23.59)2 pts(48:23.59),39th(CAP+52)2 pts(CAP+52),38th(CAP+112)4 pts(CAP+112),38th(8:23.40)4 pts(8:23.40),33rd(CAP+21)14 pts(CAP+21),WD (--)
