RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
22,"DALTONMANKIN
South Central
Age 22
5'9"" | 185 lbs
View Profile",242,31st(45:41.52)18 pts(45:41.52),17th(CAP+6)46 pts(CAP+6),28th(CAP+65)24 pts(CAP+65),9th(6:55.06)64 pts(6:55.06),23T(CAP+18)34 pts(CAP+18),12th(5:13.83)56 pts(5:13.83)
23,"MICHAELMCKENNA
South West
Age 30
5'9"" | 190 lbs
View Profile",222,24th(44:13.41)32 pts(44:13.41),13T (CAP)54 pts(CAP),40th(CAP+128)0 pts(CAP+128),18th(7:24.00)44 pts(7:24.00),17T(CAP+15)46 pts(CAP+15),17th(5:41.25)46 pts(5:41.25)
24,"JUSTINKING
South Central
Age 36
5'9"" | 215 lbs
View Profile",218,35th(47:18.36)10 pts(47:18.36),6th(15:05.95)76 pts(15:05.95),35T(CAP+114)10 pts(CAP+114),22nd(7:36.74)36 pts(7:36.74),33T(CAP+24)14 pts(CAP+24),7th(4:57.06)72 pts(4:57.06)
25,"RICHARDBERRETH
South Central
Age 21
5'7"" | 178 lbs
View Profile",214,18th(43:20.00)44 pts(43:20.00),30th(CAP+16)20 pts(CAP+16),29T(CAP+67)22 pts(CAP+67),24th(7:39.01)32 pts(7:39.01),21T(CAP+17)38 pts(CAP+17),11th(5:13.46)58 pts(5:13.46)
26,"ALEXANDREJOLIVET
South West
Age 38
173 cm | 210 lbs
View Profile",178,23rd(44:09.92)34 pts(44:09.92),12th(16:58.47)56 pts(16:58.47),29T(CAP+67)22 pts(CAP+67),32nd(8:22.76)16 pts(8:22.76),26T(CAP+20)28 pts(CAP+20),29th(6:24.51)22 pts(6:24.51)
27,"BABAKESGHOUEI
South Central
Age 20
5'9"" | 195 lbs
View Profile",178,28th(44:57.09)24 pts(44:57.09),28T(CAP+15)24 pts(CAP+15),33rd(CAP+100)14 pts(CAP+100),23rd(7:38.41)34 pts(7:38.41),26T(CAP+20)28 pts(CAP+20),13th(5:14.60)54 pts(5:14.60)
28,"ANDREWST GERMAIN
South Central
Age 30
5'8"" | 187 lbs
View Profile",176,30th(45:20.95)20 pts(45:20.95),18th(CAP+7)44 pts(CAP+7),20T(CAP+55)40 pts(CAP+55),17th(7:23.85)46 pts(7:23.85),30T(CAP+21)20 pts(CAP+21),37th(CAP)6 pts(CAP)
29,"KIRKRICHIE
South Central
Age 25
5'10"" | 195 lbs
View Profile",170,19th(43:26.00)42 pts(43:26.00),33T(CAP+22)14 pts(CAP+22),11th(11:51.36)58 pts(11:51.36),27th(8:07.60)26 pts(8:07.60),33T(CAP+24)14 pts(CAP+24),32nd(6:29.76)16 pts(6:29.76)
30,"ANDREWCIFELLI
South West
Age 28
6'0"" | 190 lbs
View Profile",160,9th(41:44.71)64 pts(41:44.71),33T(CAP+22)14 pts(CAP+22),16th(12:34.18)48 pts(12:34.18),39th(CAP+12)2 pts(CAP+12),26T(CAP+20)28 pts(CAP+20),38th(CAP+8)4 pts(CAP+8)
31,"MATTHEWSTRAND
South West
Age 25
5'10"" | 185 lbs
View Profile",160,12th(42:06.74)56 pts(42:06.74),32nd(CAP+21)16 pts(CAP+21),35T(CAP+114)10 pts(CAP+114),37th(8:59.70)6 pts(8:59.70),23T(CAP+18)34 pts(CAP+18),21st(5:48.10)38 pts(5:48.10)
32,"JOHNNYBRUCE
South Central
Age 33
5'10"" | 200 lbs
View Profile",158,27th(44:38.94)26 pts(44:38.94),28T(CAP+15)24 pts(CAP+15),34th(CAP+103)12 pts(CAP+103),34th(8:35.00)12 pts(8:35.00),9T(CAP+9)64 pts(CAP+9),30th(6:27.41)20 pts(6:27.41)
33,"ORIONHONES
South Central
Age 23
5'11"" | 215 lbs
View Profile",148,36th(47:36.30)8 pts(47:36.30),19T(CAP+9)42 pts(CAP+9),32nd(CAP+82)16 pts(CAP+82),33rd(8:31.96)14 pts(8:31.96),21T(CAP+17)38 pts(CAP+17),25th(6:05.88)30 pts(6:05.88)
34,"BRADENRUBEY
South Central
Age 30
5'8"" | 180 lbs
View Profile",142,34th(47:09.32)12 pts(47:09.32),31st(CAP+18)18 pts(CAP+18),14th(12:26.00)52 pts(12:26.00),30th(8:14.33)20 pts(8:14.33),37th(CAP+27)6 pts(CAP+27),23rd(5:55.77)34 pts(5:55.77)
35,"PHILLIPGUILLOT
South Central
Age 29
5'10"" | 202 lbs
View Profile",134,22nd(43:42.00)36 pts(43:42.00),33T(CAP+22)14 pts(CAP+22),27th(CAP+58)26 pts(CAP+58),25th(7:44.34)30 pts(7:44.34),33T(CAP+24)14 pts(CAP+24),33rd(6:32.88)14 pts(6:32.88)
36,"ZAKANDERSON
South Central
Age 28
5'7"" | 175 lbs
View Profile",130,25th(44:26.00)30 pts(44:26.00),24T(CAP+13)32 pts(CAP+13),23T(CAP+56)34 pts(CAP+56),36th(8:59.68)8 pts(8:59.68),32nd(CAP+23)16 pts(CAP+23),35th(6:48.72)10 pts(6:48.72)
37,"THATCHERTAYLOR
South West
Age 32
5'11"" | 195 lbs
View Profile",124,26th(44:34.17)28 pts(44:34.17),19T(CAP+9)42 pts(CAP+9),23T(CAP+56)34 pts(CAP+56),38th(8:59.99)4 pts(8:59.99),36th(CAP+25)8 pts(CAP+25),36th(6:51.95)8 pts(6:51.95)
38,"JOSÉBERNAL
South Central
Age 27
171 cm | 186 lbs
View Profile",106,38th(47:58.11)4 pts(47:58.11),19T(CAP+9)42 pts(CAP+9),39th(CAP+116)2 pts(CAP+116),28th(8:07.95)24 pts(8:07.95),39th(CAP+38)2 pts(CAP+38),24th(6:00.63)32 pts(6:00.63)
39,"TUCKERMCLEMORE
South Central
Age 25
5'10"" | 188 lbs
View Profile",82,32nd(45:58.14)16 pts(45:58.14),39T(CAP+31)2 pts(CAP+31),35T(CAP+114)10 pts(CAP+114),35th(8:55.15)10 pts(8:55.15),30T(CAP+21)20 pts(CAP+21),28th(6:24.25)24 pts(6:24.25)
40,"KAWIKAHENDERSON
South West
Age 32
5'8"" | 189 lbs
View Profile",16,40th(CAP+8)0 pts(CAP+8),37T(CAP+30)6 pts(CAP+30),35T(CAP+114)10 pts(CAP+114),40th(CAP+36)0 pts(CAP+36),WD (--),WD (--)
