RANKDetermined by total points. The athlete with the most points wins.,NAME,POINTSThe sum of the points awarded for each workout. Based on a points table.,EVENT 1,EVENT 2,EVENT 3,EVENT 4,EVENT 5,EVENT 6
26,"ANDREWMCGOVERN
Mid Atlantic
Age 29
5'8"" | 183 lbs
View Profile",194,16th(40:07.08)48 pts(40:07.08),8th(14:25.64)68 pts(14:25.64),23rd(12:38.31)34 pts(12:38.31),35th(7:40.60)10 pts(7:40.60),33rd(CAP+15)14 pts(CAP+15),30th(5:24.56)20 pts(5:24.56)
27,"ZAANDERSON
South East
Age 29
6'2"" | 225 lbs
View Profile",192,19th(40:16.65)42 pts(40:16.65),27th(16:46.85)26 pts(16:46.85),19th(11:31.18)42 pts(11:31.18),32nd(7:08.10)16 pts(7:08.10),10th(16:14.85)60 pts(16:14.85),37th(6:12.68)6 pts(6:12.68)
28,"BRYCELAWLOR
Mid Atlantic
Age 25
5'10"" | 195 lbs
View Profile",182,35th(44:14.40)10 pts(44:14.40),33rd(CAP+3)14 pts(CAP+3),32T(CAP+56)16 pts(CAP+56),9th(6:02.18)64 pts(6:02.18),17T(CAP+4)46 pts(CAP+4),24th(5:03.83)32 pts(5:03.83)
29,"JOSHUAARCONA
Mid Atlantic
Age 28
6'0"" | 214 lbs
View Profile",174,9th(39:24.59)64 pts(39:24.59),34th(CAP+4)12 pts(CAP+4),27th(CAP+2)26 pts(CAP+2),31st(7:05.60)18 pts(7:05.60),36T(CAP+18)8 pts(CAP+18),17th(4:44.40)46 pts(4:44.40)
30,"KYLEBERNIER
Mid Atlantic
Age 25
5'10"" | 198 lbs
View Profile",170,24th(41:05.54)32 pts(41:05.54),12th(14:54.57)56 pts(14:54.57),21st(11:39.21)38 pts(11:39.21),40th(8:17.05)0 pts(8:17.05),24th(CAP+8)32 pts(CAP+8),34th(5:47.50)12 pts(5:47.50)
31,"CHRISTOPHERCLYDE
Mid Atlantic
Age 31
6'0"" | 215 lbs
View Profile",146,31st(43:07.25)18 pts(43:07.25),19th(16:03.91)42 pts(16:03.91),32T(CAP+56)16 pts(CAP+56),27th(6:53.34)26 pts(6:53.34),25T(CAP+9)30 pts(CAP+9),33rd(5:31.46)14 pts(5:31.46)
32,"SCOTTGIULIANO
Mid Atlantic
Age 24
5'10"" | 195 lbs
View Profile",146,36th(44:19.01)8 pts(44:19.01),24th(16:36.15)32 pts(16:36.15),20th(11:35.20)40 pts(11:35.20),30th(7:04.45)20 pts(7:04.45),25T(CAP+9)30 pts(CAP+9),32nd(5:28.11)16 pts(5:28.11)
33,"DILLONBAILEY
South East
Age 26
5'10"" | 194 lbs
View Profile",144,27th(41:22.39)26 pts(41:22.39),16th(15:38.69)48 pts(15:38.69),36th(CAP+66)8 pts(CAP+66),20th(6:25.62)40 pts(6:25.62),34T(CAP+17)12 pts(CAP+17),35th(5:50.23)10 pts(5:50.23)
34,"LEXOZIAS
South East
Age 25
5'7"" | 184 lbs
View Profile",140,40th(CAP+1)0 pts(CAP+1),22nd(16:19.98)36 pts(16:19.98),10th(10:21.15)60 pts(10:21.15),29th(7:01.02)22 pts(7:01.02),38T(CAP+20)4 pts(CAP+20),31st(5:27.27)18 pts(5:27.27)
35,"COTYBRADBURN
Mid Atlantic
Age 25
6'1"" | 202 lbs
View Profile",140,23rd(41:03.05)34 pts(41:03.05),36T(CAP+9)8 pts(CAP+9),26th(CAP+1)28 pts(CAP+1),25th(6:46.71)30 pts(6:46.71),21T(CAP+7)38 pts(CAP+7),39th(6:24.58)2 pts(6:24.58)
36,"CORYGIBSON
South East
Age 25
6'0"" | 205 lbs
View Profile",132,25th(41:07.80)30 pts(41:07.80),36T(CAP+9)8 pts(CAP+9),37th(CAP+111)6 pts(CAP+111),34th(7:37.51)12 pts(7:37.51),21T(CAP+7)38 pts(CAP+7),21st(4:50.44)38 pts(4:50.44)
37,"KYLEMONTGOMERY
Mid Atlantic
Age 23
6'2"" | 205 lbs
View Profile",114,38th(45:10.20)4 pts(45:10.20),25th(16:42.26)30 pts(16:42.26),30T(CAP+55)20 pts(CAP+55),39th(8:02.40)2 pts(8:02.40),25T(CAP+9)30 pts(CAP+9),26th(5:08.88)28 pts(5:08.88)
38,"ZACHBROCK
Mid Atlantic
Age 29
6'0"" | 217 lbs
View Profile",88,30th(41:56.49)20 pts(41:56.49),31T(CAP+2)18 pts(CAP+2),29th(CAP+51)22 pts(CAP+51),26th(6:49.06)28 pts(6:49.06),40th(CAP+23)0 pts(CAP+23),40th(6:54.10)0 pts(6:54.10)
39,"DANIELPETRO
South East
Age 30
5'11"" | 210 lbs
View Profile",82,29th(41:44.90)22 pts(41:44.90),35th(CAP+5)10 pts(CAP+5),40th(CAP+124)0 pts(CAP+124),38th(7:51.05)4 pts(7:51.05),29T(CAP+10)22 pts(CAP+10),28th(5:22.38)24 pts(5:22.38)
40,"BRAEDENSTUBBLEFIELD
South East
Age 22
0'0"" | 190 lbs
View Profile",76,39th(47:33.81)2 pts(47:33.81),36T(CAP+9)8 pts(CAP+9),22nd(11:50.37)36 pts(11:50.37),33rd(7:29.13)14 pts(7:29.13),36T(CAP+18)8 pts(CAP+18),36th(5:59.78)
